stock_id,cluster_id
0,3
1,3
2,4
3,4
4,3
5,3
6,4
7,3
8,4
9,3
10,0
11,3
13,5
14,0
15,3
16,3
17,4
18,3
19,3
20,4
21,1
22,3
23,3
26,3
27,3
28,4
29,0
30,3
31,5
32,1
33,3
34,4
35,5
36,4
37,3
38,3
39,4
40,3
41,1
42,3
43,0
44,2
46,1
47,1
48,3
50,0
51,3
52,4
53,4
55,3
56,0
58,3
59,3
60,3
61,0
62,3
63,2
64,4
66,3
67,3
68,4
69,0
70,3
72,3
73,0
74,5
75,3
76,4
77,1
78,3
80,4
81,4
82,3
83,3
84,4
85,2
86,2
87,3
88,3
89,2
90,3
93,4
94,3
95,3
96,0
97,3
98,3
99,2
100,3
101,3
102,3
103,3
104,3
105,2
107,3
108,1
109,4
110,3
111,1
112,3
113,0
114,4
115,3
116,3
118,3
119,2
120,0
122,3
123,0
124,2
125,5
126,3
